"State","Abbreviation","Position"
"Alabama","AL",160 -105
"Alaska","AK", -270 -180
"Arizona","AZ", -200 -80
"Arkansas","AR",90 -75
"California","CA", -300 0
"Colorado","CO",-110 10
"Connecticut","CT",340 85
"Delaware","DE", 320 25
"District of Columbia","DC",[(290 20)]
"Florida","FL",[(260 -195)]
"Georgia","GA",[(210 -105)]
"Hawaii","HI",[(-130 -195)]
"Idaho","ID",[(-200 100)]
"Illinois","IL", [(125  20)]
"Indiana","IN", [(165 20)]
"Iowa","IA",[(70 50)]
"Kansas","KS",[(0 0)]
"Kentucky","KY",[(200 -5)]
"Louisiana","LA",[(90 -125)]
"Maine","ME",[(360 170)]
"Maryland","MD",[(290 25)]
"Massachusetts","MA",[(340 100)]
"Michigan","MI",[(180 80)]
"Minnesota","MN",[(60 120)]
"Mississippi","MS",[(120 -105)]
"Missouri","MO", [(75 0)]
"Montana","MT",[(-100 150)]
"Nebraska","NE",[(0 50)]
"Nevada","NV", [(-250 10)]
"New Hampshire","NH",[(350 120)]
"New Jersey","NJ",[(325 45)]
"New Mexico","NM", [(-120 -90)]
"New York","NY",[(300 95)]
"North Carolina","NC",[(270 -35)]
"North Dakota","ND",[(-10 150)]
"Ohio","OH", [(200 25"
"Oklahoma","OK",[(10 -65)]
"Oregon","OR",[(-280 140)]
"Pennsylvania","PA",[(260 45)]
"Rhode Island","RI", [(355 88)]
"South Carolina","SC",[(270 -75)]
"South Dakota","SD",[(-10 100)]
"Tennessee","TN",[(180 -45)]
"Texas","TX", [(-20 130)]
"Utah","UT", [(-190 10)]
"Vermont","VT",[(330 130)]
"Virginia","VA",[(270 0)]
"Washington","WA",[(-240 190)]
"West Virginia","WV",[(250 10)]
"Wisconsin","WI",[(100 100)]
"Wyoming","WY",[(-110 70)]